partner_country,year,tariff_relief,intermediate_share,source_share
TW,2017,0.0,0.7647156174579695,0.06675610623527803
TW,2018,0.0,0.7604345553577151,0.06344196755941627
TW,2019,0.0,0.7533487673270574,0.06090582900777893
TW,2020,0.0,0.7636739829011121,0.0689597473585379
TW,2021,0.0,0.7635647568684258,0.06579869645727895
TW,2022,0.0,0.8049218562041318,0.06239574915987538
TW,2023,0.0,0.8003205942894952,0.05036329062724113
TW,2024,0.0,0.7897859989578812,0.051095194537884955
GB,2017,0.0,0.5131519440128952,0.016229227412929963
GB,2018,0.0,0.6402394931729463,0.01601666678410551
GB,2019,0.0,0.676957566744714,0.01722800079280776
GB,2020,0.0,0.4831213258726984,0.011361113762177228
GB,2021,0.0,0.4685733656591744,0.010579131147617191
GB,2022,0.0,0.7236659655696467,0.013782022005913531
GB,2023,0.0,0.7195502981665047,0.015006105913273842
GB,2024,0.0,0.7955057251390584,0.018038194590348056
HK,2017,0.0,0.7337577428648488,0.018600176047317507
HK,2018,0.0,0.7208696322884256,0.018483402846690714
HK,2019,0.0,0.7263252965668872,0.02011830566505283
HK,2020,0.0,0.7281105378953509,0.016763365969647306
HK,2021,0.0,0.7426004454713947,0.02714539581345094
HK,2022,0.0,0.7478674964617388,0.02047930444983115
HK,2023,0.0,0.7561587197404549,0.02896425183535772
HK,2024,0.0,0.7395729082371898,0.032284521748346263
ID,2017,0.0,0.6770382792626553,0.01721167574768894
ID,2018,0.0,0.6302216236035422,0.01793797815397278
ID,2019,0.0,0.6489906548659685,0.018170067950299306
ID,2020,0.0,0.7222562269966295,0.020255188106970138
ID,2021,0.0,0.662868788623398,0.026843382497847543
ID,2022,0.0,0.6980861055263713,0.03242312735579331
ID,2023,0.001235760933382555,0.7089879279266225,0.032316512148521756
ID,2024,0.0019374140825013512,0.7153034465341986,0.030917038093576158
MY,2017,0.0,0.758324818208334,0.022348634091029218
MY,2018,0.0,0.7171830349126264,0.02265685708450882
MY,2019,0.0,0.7094843329393573,0.022649213137694683
MY,2020,0.0,0.7278702838875981,0.025503275003392088
MY,2021,0.0,0.7095303676563709,0.02423252606223697
MY,2022,0.04532579736203805,0.705568407109522,0.02456734545288367
MY,2023,0.04549677618917236,0.7183090438820744,0.022400563520750708
MY,2024,0.04577544303832379,0.6916941035689218,0.021676201803282856
US,2017,0.0,0.5737235993184724,0.08307003262148652
US,2018,0.0,0.5408913079805133,0.06831851490075268
US,2019,0.0,0.5710453824396275,0.061196838113224614
US,2020,0.0,0.6372712726215362,0.07652056720606278
US,2021,0.0,0.6268392793683388,0.07463173766619752
US,2022,0.0,0.6305730969025799,0.0740411801797867
US,2023,0.0,0.6107427213313588,0.0721071927547347
US,2024,0.0,0.5785769892609508,0.06833646864325232
KY,2017,0.0,,0.0
KY,2018,0.0,0.35273750039951846,6.167269142816012e-08
KY,2019,0.0,0.6110773268467545,4.151282456767615e-08
KY,2020,0.0,1.0,4.719553369824345e-09
KY,2021,0.0,0.8498777199473255,4.1626570705231646e-08
KY,2022,0.0,0.0,3.3113432898175614e-09
KY,2023,0.0,,0.0
KY,2024,0.0,1.0,1.4841562299945771e-08
IN,2017,0.0,0.8134864920036218,0.0094661943773972
IN,2018,0.0,0.6871553379852843,0.011947925477163108
IN,2019,0.0,0.6851621901784819,0.011876422173983022
IN,2020,0.0,0.7929296209989671,0.013542452350962365
IN,2021,0.0,0.7687691468714578,0.013833230685266209
IN,2022,0.0,0.6109020698274553,0.008332809843913417
IN,2023,0.0,0.7150787626495513,0.008949531163822064
IN,2024,0.0,0.6867758815358199,0.008346554347440539
BM,2017,0.0,0.3440449169752718,6.293803743873738e-09
BM,2018,0.0,0.07398964356345959,4.352234008618837e-08
BM,2019,0.0,0.07789765416213006,6.71175372243042e-09
BM,2020,0.0,,0.0
BM,2021,0.0,0.0,8.013643447987782e-10
BM,2022,0.0,0.0,1.863251477389219e-08
BM,2023,0.0,,0.0
BM,2024,0.0,0.0,1.2305730398382028e-08
CH,2017,0.0,0.6361312684839827,0.019529389501343378
CH,2018,0.0,0.6888132787806879,0.020069301288315453
CH,2019,0.0,0.5104588764397868,0.014387821264451059
CH,2020,0.0,0.2756473087141974,0.011689310438847977
CH,2021,0.0,0.5936374268232558,0.015957084428679807
